cve_municipio,desc_municipio,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
37,Mazatán,,40.0,35.0,50.0,43.0,35.0,26.0,29.0,29.0,17.0,26.0,28.0,22.0,18.0,25.0,24.0,16.0,14.0,21.0,12.0,21.0,25.0,11.0,13.0,8.0,7.0,14.0,17.0
38,Moctezuma,,340.0,106.0,84.0,89.0,86.0,94.0,84.0,95.0,75.0,84.0,92.0,78.0,56.0,73.0,83.0,84.0,83.0,97.0,82.0,94.0,71.0,80.0,65.0,85.0,72.0,77.0,67.0
39,Naco,,129.0,182.0,160.0,163.0,136.0,139.0,165.0,159.0,144.0,117.0,130.0,116.0,112.0,125.0,104.0,110.0,115.0,138.0,134.0,127.0,109.0,100.0,92.0,98.0,83.0,102.0,57.0
40,Nácori Chico,,25.0,45.0,68.0,70.0,61.0,52.0,39.0,43.0,52.0,34.0,37.0,45.0,33.0,44.0,28.0,42.0,48.0,49.0,45.0,38.0,39.0,39.0,31.0,35.0,31.0,19.0,17.0
41,Nacozari de García,,422.0,414.0,403.0,453.0,465.0,505.0,430.0,355.0,367.0,303.0,291.0,269.0,276.0,302.0,274.0,296.0,254.0,311.0,319.0,307.0,294.0,278.0,229.0,251.0,233.0,243.0,127.0
42,Navojoa,,3421.0,3612.0,3612.0,3615.0,3439.0,3832.0,4080.0,3759.0,3724.0,3478.0,3358.0,3479.0,3321.0,3419.0,3285.0,2982.0,3169.0,3049.0,2918.0,2831.0,2694.0,2777.0,2750.0,2717.0,2499.0,2542.0,2107.0
43,Nogales,,4058.0,4340.0,4563.0,4527.0,4693.0,5009.0,5173.0,5345.0,5098.0,4895.0,4893.0,4968.0,4858.0,5100.0,5288.0,4899.0,4746.0,4975.0,4774.0,4384.0,4342.0,4216.0,4007.0,4001.0,3732.0,3903.0,2797.0
44,Onavas,,6.0,9.0,13.0,9.0,7.0,10.0,4.0,2.0,3.0,5.0,11.0,4.0,13.0,10.0,5.0,6.0,5.0,5.0,5.0,4.0,12.0,7.0,4.0,5.0,5.0,11.0,12.0
45,Opodepe,,67.0,82.0,69.0,78.0,74.0,84.0,65.0,54.0,60.0,61.0,46.0,63.0,52.0,46.0,74.0,64.0,58.0,56.0,45.0,37.0,39.0,36.0,30.0,33.0,23.0,20.0,22.0
46,Oquitoa,,3.0,11.0,19.0,14.0,14.0,9.0,6.0,10.0,5.0,3.0,8.0,12.0,3.0,7.0,13.0,9.0,10.0,9.0,5.0,2.0,14.0,7.0,10.0,6.0,4.0,2.0,4.0
47,Pitiquito,,209.0,234.0,211.0,216.0,246.0,191.0,221.0,211.0,166.0,178.0,198.0,164.0,177.0,159.0,203.0,166.0,174.0,176.0,196.0,196.0,168.0,155.0,151.0,138.0,147.0,146.0,96.0
48,Puerto Peñasco,,653.0,771.0,781.0,781.0,941.0,896.0,918.0,973.0,951.0,986.0,907.0,1163.0,1237.0,1416.0,1680.0,1438.0,1307.0,1200.0,1228.0,1096.0,1095.0,956.0,949.0,948.0,1069.0,1077.0,563.0
49,Quiriego,,78.0,114.0,99.0,72.0,49.0,55.0,58.0,86.0,71.0,85.0,62.0,130.0,64.0,71.0,77.0,60.0,101.0,66.0,76.0,92.0,76.0,64.0,68.0,55.0,59.0,53.0,44.0
50,Rayón,,25.0,27.0,23.0,42.0,25.0,27.0,12.0,19.0,17.0,25.0,27.0,27.0,24.0,19.0,20.0,24.0,22.0,19.0,23.0,30.0,22.0,20.0,20.0,17.0,21.0,10.0,16.0
51,Rosario,,151.0,175.0,127.0,150.0,171.0,140.0,151.0,117.0,125.0,110.0,111.0,114.0,102.0,90.0,122.0,111.0,131.0,113.0,98.0,104.0,100.0,109.0,91.0,87.0,80.0,93.0,78.0
52,Sahuaripa,,135.0,125.0,129.0,123.0,148.0,133.0,108.0,117.0,126.0,106.0,121.0,106.0,99.0,95.0,105.0,113.0,89.0,99.0,108.0,88.0,101.0,76.0,66.0,82.0,67.0,60.0,35.0
53,San Felipe de Jesús,,21.0,12.0,9.0,6.0,7.0,11.0,9.0,8.0,5.0,9.0,4.0,5.0,5.0,6.0,9.0,7.0,12.0,4.0,5.0,6.0,4.0,8.0,5.0,6.0,5.0,11.0,5.0
54,San Javier,,5.0,7.0,15.0,8.0,4.0,1.0,5.0,3.0,5.0,4.0,3.0,3.0,6.0,14.0,11.0,4.0,10.0,15.0,7.0,14.0,8.0,11.0,7.0,8.0,2.0,5.0,11.0
55,San Luis Río Colorado,,3317.0,3548.0,3467.0,3556.0,3615.0,3693.0,3817.0,3568.0,3606.0,3272.0,3430.0,3408.0,3479.0,3604.0,3591.0,3460.0,3374.0,3436.0,3531.0,3432.0,3466.0,3225.0,3065.0,3006.0,2887.0,3025.0,2027.0
56,San Miguel de Horcasitas,,96.0,116.0,140.0,102.0,248.0,202.0,187.0,266.0,265.0,337.0,182.0,182.0,206.0,208.0,198.0,277.0,253.0,240.0,230.0,275.0,224.0,247.0,227.0,231.0,240.0,217.0,171.0
57,San Pedro de la Cueva,,49.0,36.0,43.0,28.0,33.0,32.0,27.0,29.0,33.0,41.0,22.0,15.0,15.0,19.0,18.0,18.0,24.0,21.0,19.0,9.0,12.0,19.0,28.0,19.0,8.0,13.0,12.0
58,Santa Ana,,325.0,384.0,373.0,332.0,364.0,356.0,363.0,334.0,385.0,351.0,347.0,365.0,341.0,328.0,335.0,288.0,322.0,351.0,348.0,294.0,296.0,299.0,286.0,271.0,239.0,256.0,190.0
59,Santa Cruz,,41.0,40.0,33.0,37.0,51.0,38.0,51.0,35.0,51.0,42.0,45.0,43.0,39.0,50.0,44.0,59.0,63.0,55.0,43.0,42.0,46.0,46.0,30.0,34.0,54.0,31.0,21.0
60,Sáric,,31.0,48.0,55.0,55.0,50.0,56.0,67.0,57.0,68.0,70.0,72.0,71.0,93.0,70.0,61.0,63.0,61.0,31.0,52.0,27.0,48.0,45.0,26.0,25.0,32.0,32.0,14.0
61,Soyopa,,22.0,35.0,36.0,29.0,33.0,35.0,26.0,25.0,22.0,19.0,21.0,31.0,28.0,31.0,23.0,20.0,21.0,14.0,14.0,19.0,31.0,23.0,11.0,14.0,30.0,16.0,20.0
62,Suaqui Grande,,38.0,43.0,35.0,19.0,21.0,23.0,24.0,35.0,34.0,21.0,25.0,30.0,21.0,27.0,28.0,24.0,26.0,21.0,18.0,14.0,18.0,17.0,10.0,13.0,17.0,14.0,15.0
63,Tepache,,23.0,28.0,21.0,17.0,12.0,20.0,16.0,21.0,23.0,20.0,8.0,13.0,14.0,13.0,13.0,21.0,14.0,14.0,13.0,13.0,7.0,7.0,11.0,9.0,7.0,9.0,11.0
64,Trincheras,,43.0,46.0,36.0,43.0,6.0,13.0,44.0,42.0,37.0,36.0,41.0,41.0,39.0,32.0,37.0,32.0,36.0,36.0,32.0,32.0,22.0,22.0,26.0,31.0,30.0,20.0,10.0
65,Tubutama,,43.0,58.0,66.0,44.0,59.0,50.0,34.0,55.0,43.0,34.0,39.0,43.0,46.0,44.0,37.0,36.0,37.0,30.0,33.0,34.0,24.0,21.0,23.0,31.0,16.0,14.0,10.0
66,Ures,,237.0,243.0,248.0,230.0,214.0,205.0,210.0,198.0,208.0,185.0,192.0,170.0,183.0,148.0,161.0,151.0,147.0,147.0,143.0,118.0,119.0,132.0,116.0,100.0,107.0,114.0,103.0
67,Villa Hidalgo,,28.0,27.0,25.0,34.0,42.0,42.0,39.0,31.0,32.0,30.0,40.0,35.0,35.0,31.0,35.0,29.0,37.0,37.0,32.0,25.0,14.0,25.0,16.0,14.0,11.0,9.0,7.0
68,Villa Pesqueira,,38.0,56.0,38.0,25.0,43.0,38.0,36.0,34.0,36.0,21.0,25.0,22.0,19.0,25.0,18.0,12.0,14.0,12.0,18.0,15.0,8.0,9.0,6.0,11.0,8.0,10.0,12.0
69,Yécora,,172.0,151.0,324.0,156.0,117.0,127.0,116.0,130.0,134.0,130.0,146.0,200.0,143.0,148.0,165.0,134.0,187.0,133.0,121.0,127.0,130.0,110.0,98.0,85.0,86.0,75.0,61.0
70,General Plutarco Elías Calles,,340.0,329.0,300.0,410.0,328.0,332.0,331.0,336.0,349.0,337.0,364.0,376.0,366.0,363.0,331.0,373.0,409.0,400.0,416.0,323.0,358.0,328.0,291.0,243.0,246.0,206.0,115.0
71,Benito Juárez,,0.0,0.0,0.0,0.0,559.0,604.0,570.0,590.0,580.0,513.0,529.0,607.0,494.0,454.0,479.0,474.0,518.0,488.0,490.0,488.0,474.0,461.0,392.0,409.0,365.0,394.0,291.0
72,San Ignacio Río Muerto,,0.0,0.0,0.0,0.0,329.0,412.0,338.0,334.0,337.0,356.0,347.0,313.0,304.0,298.0,333.0,304.0,285.0,247.0,307.0,299.0,273.0,283.0,250.0,266.0,268.0,231.0,212.0
996,No especificado,,35.0,4.0,8.0,14.0,4.0,15.0,17.0,7.0,9.0,6.0,20.0,5.0,7.0,4.0,2.0,10.0,7.0,1.0,6.0,4.0,6.0,3.0,3.0,3.0,4.0,5.0,6.0
